Month,Year,State,PWSTATE,STMIN,TIPMIN
9,2014,11,23,7.50,3.75
10,2014,11,23,7.50,3.75
11,2014,11,23,7.50,3.75
12,2014,11,23,7.50,3.75
1,2015,11,23,7.50,3.75
2,2015,11,23,7.50,3.75
3,2015,11,23,7.50,3.75
4,2015,11,23,7.50,3.75
5,2015,11,23,7.50,3.75
6,2015,11,23,7.50,3.75
7,2015,11,23,7.50,3.75
8,2015,11,23,7.50,3.75
9,2015,11,23,7.50,3.75
10,2015,11,23,7.50,3.75
11,2015,11,23,7.50,3.75
12,2015,11,23,7.50,3.75
1,2016,11,23,7.50,3.75
2,2016,11,23,7.50,3.75
3,2016,11,23,7.50,3.75
4,2016,11,23,7.50,3.75
5,2016,11,23,7.50,3.75
6,2016,11,23,7.50,3.75
7,2016,11,23,7.50,3.75
8,2016,11,23,7.50,3.75
9,2016,11,23,7.50,3.75
10,2016,11,23,7.50,3.75
11,2016,11,23,7.50,3.75
12,2016,11,23,7.50,3.75
1,2017,11,23,9.00,5.00
2,2017,11,23,9.00,5.00
3,2017,11,23,9.00,5.00
4,2017,11,23,9.00,5.00
5,2017,11,23,9.00,5.00
6,2017,11,23,9.00,5.00
7,2017,11,23,9.00,5.00
8,2017,11,23,9.00,5.00
9,2017,11,23,9.00,5.00
10,2017,11,23,9.00,5.00
11,2017,11,23,9.00,5.00
12,2017,11,23,9.00,5.00
1,2018,11,23,10.00,5.00
2,2018,11,23,10.00,5.00
3,2018,11,23,10.00,5.00
4,2018,11,23,10.00,5.00
5,2018,11,23,10.00,5.00
6,2018,11,23,10.00,5.00
7,2018,11,23,10.00,5.00
8,2018,11,23,10.00,5.00
9,2018,11,23,10.00,5.00
10,2018,11,23,10.00,5.00
11,2018,11,23,10.00,5.00
12,2018,11,23,10.00,5.00
1,2019,11,23,11.00,5.50
2,2019,11,23,11.00,5.50
3,2019,11,23,11.00,5.50
4,2019,11,23,11.00,5.50
5,2019,11,23,11.00,5.50
6,2019,11,23,11.00,5.50
7,2019,11,23,11.00,5.50
8,2019,11,23,11.00,5.50
9,2019,11,23,11.00,5.50
10,2019,11,23,11.00,5.50
11,2019,11,23,11.00,5.50
12,2019,11,23,11.00,5.50
1,2020,11,23,12.00,6.00
2,2020,11,23,12.00,6.00
3,2020,11,23,12.00,6.00
4,2020,11,23,12.00,6.00
5,2020,11,23,12.00,6.00
6,2020,11,23,12.00,6.00
7,2020,11,23,12.00,6.00
8,2020,11,23,12.00,6.00
9,2020,11,23,12.00,6.00
10,2020,11,23,12.00,6.00
11,2020,11,23,12.00,6.00
12,2020,11,23,12.00,6.00
1,2021,11,23,12.30,6.15
2,2021,11,23,12.30,6.15
3,2021,11,23,12.30,6.15
4,2021,11,23,12.30,6.15
5,2021,11,23,12.30,6.15
6,2021,11,23,12.30,6.15
7,2021,11,23,12.30,6.15
8,2021,11,23,12.30,6.15
9,2021,11,23,12.30,6.15
10,2021,11,23,12.30,6.15
11,2021,11,23,12.30,6.15
12,2021,11,23,12.30,6.15
1,2022,11,23,12.60,6.30
2,2022,11,23,12.60,6.30
3,2022,11,23,12.60,6.30
4,2022,11,23,12.60,6.30
5,2022,11,23,12.60,6.30
6,2022,11,23,12.60,6.30
7,2022,11,23,12.60,6.30
8,2022,11,23,12.60,6.30
9,2022,11,23,12.60,6.30
10,2022,11,23,12.60,6.30
11,2022,11,23,12.60,6.30
12,2022,11,23,12.60,6.30
1,2023,11,23,12.90,6.45
2,2023,11,23,12.90,6.45
3,2023,11,23,12.90,6.45
4,2023,11,23,12.90,6.45
5,2023,11,23,12.90,6.45
6,2023,11,23,12.90,6.45
7,2023,11,23,12.90,6.45
8,2023,11,23,12.90,6.45
9,2023,11,23,12.90,6.45
10,2023,11,23,12.90,6.45
11,2023,11,23,12.90,6.45
12,2023,11,23,12.90,6.45
1,2024,11,23,13.20,6.60
2,2024,11,23,13.20,6.60
3,2024,11,23,13.20,6.60
4,2024,11,23,13.20,6.60
5,2024,11,23,13.20,6.60
6,2024,11,23,13.20,6.60
7,2024,11,23,13.20,6.60
8,2024,11,23,13.20,6.60
9,2024,11,23,13.20,6.60
10,2024,11,23,13.20,6.60
11,2024,11,23,13.20,6.60
12,2024,11,23,13.20,6.60
1,2025,11,23,13.50,6.75
2,2025,11,23,13.50,6.75
3,2025,11,23,13.50,6.75
4,2025,11,23,13.50,6.75
5,2025,11,23,13.50,6.75
6,2025,11,23,13.50,6.75
7,2025,11,23,13.50,6.75
8,2025,11,23,13.50,6.75
9,2025,11,23,13.50,6.75
10,2025,11,23,13.50,6.75
11,2025,11,23,13.50,6.75
12,2025,11,23,13.50,6.75
1,2026,11,23,13.80,6.90
2,2026,11,23,13.80,6.90
3,2026,11,23,13.80,6.90
4,2026,11,23,13.80,6.90
5,2026,11,23,13.80,6.90
6,2026,11,23,13.80,6.90
7,2026,11,23,13.80,6.90
8,2026,11,23,13.80,6.90
9,2026,11,23,13.80,6.90
10,2026,11,23,13.80,6.90
11,2026,11,23,13.80,6.90
12,2026,11,23,13.80,6.90
1,2027,11,23,14.10,7.05
2,2027,11,23,14.10,7.05
3,2027,11,23,14.10,7.05
4,2027,11,23,14.10,7.05
5,2027,11,23,14.10,7.05
6,2027,11,23,14.10,7.05
7,2027,11,23,14.10,7.05
8,2027,11,23,14.10,7.05
9,2027,11,23,14.10,7.05
10,2027,11,23,14.10,7.05
11,2027,11,23,14.10,7.05
12,2027,11,23,14.10,7.05
1,2028,11,23,14.40,7.20
2,2028,11,23,14.40,7.20
3,2028,11,23,14.40,7.20
4,2028,11,23,14.40,7.20
5,2028,11,23,14.40,7.20
6,2028,11,23,14.40,7.20
7,2028,11,23,14.40,7.20
8,2028,11,23,14.40,7.20
9,2028,11,23,14.40,7.20
10,2028,11,23,14.40,7.20
11,2028,11,23,14.40,7.20
12,2028,11,23,14.40,7.20
1,2029,11,23,14.70,7.35
2,2029,11,23,14.70,7.35
3,2029,11,23,14.70,7.35
4,2029,11,23,14.70,7.35
5,2029,11,23,14.70,7.35
6,2029,11,23,14.70,7.35
7,2029,11,23,14.70,7.35
8,2029,11,23,14.70,7.35
9,2029,11,23,14.70,7.35
10,2029,11,23,14.70,7.35
11,2029,11,23,14.70,7.35
12,2029,11,23,14.70,7.35
1,2009,12,33,7.25,3.26
2,2009,12,33,7.25,3.26
3,2009,12,33,7.25,3.26
4,2009,12,33,7.25,3.26
5,2009,12,33,7.25,3.26
6,2009,12,33,7.25,3.26
7,2009,12,33,7.25,3.26
8,2009,12,33,7.25,3.26
9,2009,12,33,7.25,3.26
10,2009,12,33,7.25,3.26
11,2009,12,33,7.25,3.26
12,2009,12,33,7.25,3.26
1,2010,12,33,7.25,3.26
2,2010,12,33,7.25,3.26
3,2010,12,33,7.25,3.26
4,2010,12,33,7.25,3.26
5,2010,12,33,7.25,3.26
6,2010,12,33,7.25,3.26
7,2010,12,33,7.25,3.26
8,2010,12,33,7.25,3.26
9,2010,12,33,7.25,3.26
10,2010,12,33,7.25,3.26
11,2010,12,33,7.25,3.26
12,2010,12,33,7.25,3.26
1,2011,12,33,7.25,3.26
2,2011,12,33,7.25,3.26
3,2011,12,33,7.25,3.26
4,2011,12,33,7.25,3.26
5,2011,12,33,7.25,3.26
6,2011,12,33,7.25,3.26
7,2011,12,33,7.25,3.26
8,2011,12,33,7.25,3.26
9,2011,12,33,7.25,3.26
10,2011,12,33,7.25,3.26
11,2011,12,33,7.25,3.26
12,2011,12,33,7.25,3.26
1,2012,12,33,7.25,3.26
2,2012,12,33,7.25,3.26
3,2012,12,33,7.25,3.26
4,2012,12,33,7.25,3.26
5,2012,12,33,7.25,3.26
6,2012,12,33,7.25,3.26
7,2012,12,33,7.25,3.26
8,2012,12,33,7.25,3.26
9,2012,12,33,7.25,3.26
10,2012,12,33,7.25,3.26
11,2012,12,33,7.25,3.26
12,2012,12,33,7.25,3.26
1,2013,12,33,7.25,3.26
2,2013,12,33,7.25,3.26
3,2013,12,33,7.25,3.26
4,2013,12,33,7.25,3.26
5,2013,12,33,7.25,3.26
6,2013,12,33,7.25,3.26
7,2013,12,33,7.25,3.26
8,2013,12,33,7.25,3.26
9,2013,12,33,7.25,3.26
10,2013,12,33,7.25,3.26
11,2013,12,33,7.25,3.26
12,2013,12,33,7.25,3.26
1,2014,12,33,7.25,3.26
2,2014,12,33,7.25,3.26
3,2014,12,33,7.25,3.26
4,2014,12,33,7.25,3.26
5,2014,12,33,7.25,3.26
6,2014,12,33,7.25,3.26
7,2014,12,33,7.25,3.26
8,2014,12,33,7.25,3.26
9,2014,12,33,7.25,3.26
10,2014,12,33,7.25,3.26
11,2014,12,33,7.25,3.26
12,2014,12,33,7.25,3.26
1,2015,12,33,7.25,3.26
2,2015,12,33,7.25,3.26
3,2015,12,33,7.25,3.26
4,2015,12,33,7.25,3.26
5,2015,12,33,7.25,3.26
6,2015,12,33,7.25,3.26
7,2015,12,33,7.25,3.26
8,2015,12,33,7.25,3.26
9,2015,12,33,7.25,3.26
10,2015,12,33,7.25,3.26
11,2015,12,33,7.25,3.26
12,2015,12,33,7.25,3.26
1,2016,12,33,7.25,3.26
2,2016,12,33,7.25,3.26
3,2016,12,33,7.25,3.26
4,2016,12,33,7.25,3.26
5,2016,12,33,7.25,3.26
6,2016,12,33,7.25,3.26
7,2016,12,33,7.25,3.26
8,2016,12,33,7.25,3.26
9,2016,12,33,7.25,3.26
10,2016,12,33,7.25,3.26
11,2016,12,33,7.25,3.26
12,2016,12,33,7.25,3.26
1,2017,12,33,7.25,3.26
2,2017,12,33,7.25,3.26
3,2017,12,33,7.25,3.26
4,2017,12,33,7.25,3.26
5,2017,12,33,7.25,3.26
6,2017,12,33,7.25,3.26
7,2017,12,33,7.25,3.26
8,2017,12,33,7.25,3.26
9,2017,12,33,7.25,3.26
10,2017,12,33,7.25,3.26
11,2017,12,33,7.25,3.26
12,2017,12,33,7.25,3.26
1,2018,12,33,7.25,3.26
2,2018,12,33,7.25,3.26
3,2018,12,33,7.25,3.26
4,2018,12,33,7.25,3.26
5,2018,12,33,7.25,3.26
6,2018,12,33,7.25,3.26
7,2018,12,33,7.25,3.26
8,2018,12,33,7.25,3.26
9,2018,12,33,7.25,3.26
10,2018,12,33,7.25,3.26
11,2018,12,33,7.25,3.26
12,2018,12,33,7.25,3.26
1,2019,12,33,7.25,3.26
2,2019,12,33,7.25,3.26
3,2019,12,33,7.25,3.26
4,2019,12,33,7.25,3.26
5,2019,12,33,7.25,3.26
6,2019,12,33,7.25,3.26
7,2019,12,33,7.25,3.26
8,2019,12,33,7.25,3.26
9,2019,12,33,7.25,3.26
10,2019,12,33,7.25,3.26
11,2019,12,33,7.25,3.26
12,2019,12,33,7.25,3.26
1,2020,12,33,7.25,3.26
2,2020,12,33,7.25,3.26
3,2020,12,33,7.25,3.26
4,2020,12,33,7.25,3.26
5,2020,12,33,7.25,3.26
6,2020,12,33,7.25,3.26
7,2020,12,33,7.25,3.26
8,2020,12,33,7.25,3.26
9,2020,12,33,7.25,3.26
10,2020,12,33,7.25,3.26
11,2020,12,33,7.25,3.26
12,2020,12,33,7.25,3.26
1,2021,12,33,7.25,3.26
2,2021,12,33,7.25,3.26
3,2021,12,33,7.25,3.26
4,2021,12,33,7.25,3.26
5,2021,12,33,7.25,3.26
6,2021,12,33,7.25,3.26
7,2021,12,33,7.25,3.26
8,2021,12,33,7.25,3.26
9,2021,12,33,7.25,3.26
10,2021,12,33,7.25,3.26
11,2021,12,33,7.25,3.26
12,2021,12,33,7.25,3.26
1,2022,12,33,7.25,3.26
2,2022,12,33,7.25,3.26
3,2022,12,33,7.25,3.26
4,2022,12,33,7.25,3.26
5,2022,12,33,7.25,3.26
6,2022,12,33,7.25,3.26
7,2022,12,33,7.25,3.26
8,2022,12,33,7.25,3.26
9,2022,12,33,7.25,3.26
10,2022,12,33,7.25,3.26
11,2022,12,33,7.25,3.26
12,2022,12,33,7.25,3.26
1,2023,12,33,7.25,3.26
2,2023,12,33,7.25,3.26
3,2023,12,33,7.25,3.26
4,2023,12,33,7.25,3.26
5,2023,12,33,7.25,3.26
6,2023,12,33,7.25,3.26
7,2023,12,33,7.25,3.26
8,2023,12,33,7.25,3.26
9,2023,12,33,7.25,3.26
10,2023,12,33,7.25,3.26
11,2023,12,33,7.25,3.26
12,2023,12,33,7.25,3.26
1,2024,12,33,7.25,3.26
2,2024,12,33,7.25,3.26
3,2024,12,33,7.25,3.26
4,2024,12,33,7.25,3.26
5,2024,12,33,7.25,3.26
6,2024,12,33,7.25,3.26
7,2024,12,33,7.25,3.26
8,2024,12,33,7.25,3.26
9,2024,12,33,7.25,3.26
10,2024,12,33,7.25,3.26
11,2024,12,33,7.25,3.26
12,2024,12,33,7.25,3.26
1,2025,12,33,7.25,3.26
2,2025,12,33,7.25,3.26
3,2025,12,33,7.25,3.26
4,2025,12,33,7.25,3.26
5,2025,12,33,7.25,3.26
6,2025,12,33,7.25,3.26
7,2025,12,33,7.25,3.26
8,2025,12,33,7.25,3.26
9,2025,12,33,7.25,3.26
10,2025,12,33,7.25,3.26
11,2025,12,33,7.25,3.26
12,2025,12,33,7.25,3.26
1,2026,12,33,7.25,3.26
2,2026,12,33,7.25,3.26
3,2026,12,33,7.25,3.26
4,2026,12,33,7.25,3.26
5,2026,12,33,7.25,3.26
6,2026,12,33,7.25,3.26
7,2026,12,33,7.25,3.26
8,2026,12,33,7.25,3.26
9,2026,12,33,7.25,3.26
10,2026,12,33,7.25,3.26
11,2026,12,33,7.25,3.26
12,2026,12,33,7.25,3.26
1,2027,12,33,7.25,3.26
2,2027,12,33,7.25,3.26
3,2027,12,33,7.25,3.26
4,2027,12,33,7.25,3.26
5,2027,12,33,7.25,3.26
6,2027,12,33,7.25,3.26
7,2027,12,33,7.25,3.26
8,2027,12,33,7.25,3.26
9,2027,12,33,7.25,3.26
10,2027,12,33,7.25,3.26
11,2027,12,33,7.25,3.26
12,2027,12,33,7.25,3.26
1,2028,12,33,7.25,3.26
2,2028,12,33,7.25,3.26
3,2028,12,33,7.25,3.26
4,2028,12,33,7.25,3.26
5,2028,12,33,7.25,3.26
6,2028,12,33,7.25,3.26
7,2028,12,33,7.25,3.26
8,2028,12,33,7.25,3.26
9,2028,12,33,7.25,3.26
10,2028,12,33,7.25,3.26
11,2028,12,33,7.25,3.26
12,2028,12,33,7.25,3.26
1,2029,12,33,7.25,3.26
2,2029,12,33,7.25,3.26
3,2029,12,33,7.25,3.26
4,2029,12,33,7.25,3.26
5,2029,12,33,7.25,3.26
6,2029,12,33,7.25,3.26
7,2029,12,33,7.25,3.26
8,2029,12,33,7.25,3.26
9,2029,12,33,7.25,3.26
10,2029,12,33,7.25,3.26
11,2029,12,33,7.25,3.26
12,2029,12,33,7.25,3.26
1,2009,13,50,8.06,3.91
2,2009,13,50,8.06,3.91
3,2009,13,50,8.06,3.91
4,2009,13,50,8.06,3.91
5,2009,13,50,8.06,3.91
6,2009,13,50,8.06,3.91
7,2009,13,50,8.06,3.91
8,2009,13,50,8.06,3.91
9,2009,13,50,8.06,3.91
10,2009,13,50,8.06,3.91
11,2009,13,50,8.06,3.91
12,2009,13,50,8.06,3.91
1,2010,13,50,8.06,3.91
2,2010,13,50,8.06,3.91
3,2010,13,50,8.06,3.91
4,2010,13,50,8.06,3.91
5,2010,13,50,8.06,3.91
6,2010,13,50,8.06,3.91
7,2010,13,50,8.06,3.91
8,2010,13,50,8.06,3.91
9,2010,13,50,8.06,3.91
10,2010,13,50,8.06,3.91
11,2010,13,50,8.06,3.91
12,2010,13,50,8.06,3.91
1,2011,13,50,8.15,3.95
2,2011,13,50,8.15,3.95
3,2011,13,50,8.15,3.95
4,2011,13,50,8.15,3.95
5,2011,13,50,8.15,3.95
6,2011,13,50,8.15,3.95
7,2011,13,50,8.15,3.95
8,2011,13,50,8.15,3.95
9,2011,13,50,8.15,3.95
10,2011,13,50,8.15,3.95
11,2011,13,50,8.15,3.95
12,2011,13,50,8.15,3.95
1,2012,13,50,8.46,4.10
2,2012,13,50,8.46,4.10
3,2012,13,50,8.46,4.10
4,2012,13,50,8.46,4.10
5,2012,13,50,8.46,4.10
6,2012,13,50,8.46,4.10
7,2012,13,50,8.46,4.10
8,2012,13,50,8.46,4.10
9,2012,13,50,8.46,4.10
10,2012,13,50,8.46,4.10
11,2012,13,50,8.46,4.10
12,2012,13,50,8.46,4.10
1,2013,13,50,8.60,4.17
2,2013,13,50,8.60,4.17
3,2013,13,50,8.60,4.17
4,2013,13,50,8.60,4.17
5,2013,13,50,8.60,4.17
6,2013,13,50,8.60,4.17
7,2013,13,50,8.60,4.17
8,2013,13,50,8.60,4.17
9,2013,13,50,8.60,4.17
10,2013,13,50,8.60,4.17
11,2013,13,50,8.60,4.17
12,2013,13,50,8.60,4.17
1,2014,13,50,8.73,4.23
2,2014,13,50,8.73,4.23
3,2014,13,50,8.73,4.23
4,2014,13,50,8.73,4.23
5,2014,13,50,8.73,4.23
6,2014,13,50,8.73,4.23
7,2014,13,50,8.73,4.23
8,2014,13,50,8.73,4.23
9,2014,13,50,8.73,4.23
10,2014,13,50,8.73,4.23
11,2014,13,50,8.73,4.23
12,2014,13,50,8.73,4.23
1,2015,13,50,9.15,4.58
2,2015,13,50,9.15,4.58
3,2015,13,50,9.15,4.58
4,2015,13,50,9.15,4.58
5,2015,13,50,9.15,4.58
6,2015,13,50,9.15,4.58
7,2015,13,50,9.15,4.58
8,2015,13,50,9.15,4.58
9,2015,13,50,9.15,4.58
10,2015,13,50,9.15,4.58
11,2015,13,50,9.15,4.58
12,2015,13,50,9.15,4.58
1,2016,13,50,9.60,4.80
2,2016,13,50,9.60,4.80
3,2016,13,50,9.60,4.80
4,2016,13,50,9.60,4.80
5,2016,13,50,9.60,4.80
6,2016,13,50,9.60,4.80
7,2016,13,50,9.60,4.80
8,2016,13,50,9.60,4.80
9,2016,13,50,9.60,4.80
10,2016,13,50,9.60,4.80
11,2016,13,50,9.60,4.80
12,2016,13,50,9.60,4.80
1,2017,13,50,10.00,5.00
2,2017,13,50,10.00,5.00
3,2017,13,50,10.00,5.00
4,2017,13,50,10.00,5.00
5,2017,13,50,10.00,5.00
6,2017,13,50,10.00,5.00
7,2017,13,50,10.00,5.00
8,2017,13,50,10.00,5.00
9,2017,13,50,10.00,5.00
10,2017,13,50,10.00,5.00
11,2017,13,50,10.00,5.00
12,2017,13,50,10.00,5.00
1,2018,13,50,10.50,5.25
2,2018,13,50,10.50,5.25
3,2018,13,50,10.50,5.25
4,2018,13,50,10.50,5.25
5,2018,13,50,10.50,5.25
6,2018,13,50,10.50,5.25
7,2018,13,50,10.50,5.25
8,2018,13,50,10.50,5.25
9,2018,13,50,10.50,5.25
10,2018,13,50,10.50,5.25
11,2018,13,50,10.50,5.25
12,2018,13,50,10.50,5.25
1,2019,13,50,10.77,5.39
2,2019,13,50,10.77,5.39
3,2019,13,50,10.77,5.39
4,2019,13,50,10.77,5.39
5,2019,13,50,10.77,5.39
6,2019,13,50,10.77,5.39
7,2019,13,50,10.77,5.39
8,2019,13,50,10.77,5.39
9,2019,13,50,10.77,5.39
10,2019,13,50,10.77,5.39
11,2019,13,50,10.77,5.39
12,2019,13,50,10.77,5.39
1,2020,13,50,10.97,5.48
2,2020,13,50,10.97,5.49
3,2020,13,50,10.97,5.49
4,2020,13,50,10.97,5.49
5,2020,13,50,10.97,5.49
6,2020,13,50,10.97,5.49
7,2020,13,50,10.97,5.49
8,2020,13,50,10.97,5.49
9,2020,13,50,10.97,5.49
10,2020,13,50,10.97,5.49
11,2020,13,50,10.97,5.49
12,2020,13,50,10.97,5.49
1,2021,13,50,11.23,5.62
2,2021,13,50,11.23,5.62
3,2021,13,50,11.23,5.62
4,2021,13,50,11.23,5.62
5,2021,13,50,11.23,5.62
6,2021,13,50,11.23,5.62
7,2021,13,50,11.23,5.62
8,2021,13,50,11.23,5.62
9,2021,13,50,11.23,5.62
10,2021,13,50,11.23,5.62
11,2021,13,50,11.23,5.62
12,2021,13,50,11.23,5.62
1,2022,13,50,11.52,5.76
2,2022,13,50,11.52,5.76
3,2022,13,50,11.52,5.76
4,2022,13,50,11.52,5.76
5,2022,13,50,11.52,5.76
6,2022,13,50,11.52,5.76
7,2022,13,50,11.52,5.76
8,2022,13,50,11.52,5.76
9,2022,13,50,11.52,5.76
10,2022,13,50,11.52,5.76
11,2022,13,50,11.52,5.76
12,2022,13,50,11.52,5.76
1,2023,13,50,11.81,5.91
2,2023,13,50,11.81,5.91
3,2023,13,50,11.81,5.91
4,2023,13,50,11.81,5.91
5,2023,13,50,11.81,5.91
6,2023,13,50,11.81,5.91
7,2023,13,50,11.81,5.91
8,2023,13,50,11.81,5.91
9,2023,13,50,11.81,5.91
10,2023,13,50,11.81,5.91
11,2023,13,50,11.81,5.91
12,2023,13,50,11.81,5.91
1,2024,13,50,12.10,6.05
2,2024,13,50,12.10,6.03
3,2024,13,50,12.10,6.03
4,2024,13,50,12.10,6.03
5,2024,13,50,12.10,6.03
6,2024,13,50,12.10,6.03
7,2024,13,50,12.10,6.03
8,2024,13,50,12.10,6.03
9,2024,13,50,12.10,6.03
10,2024,13,50,12.10,6.03
11,2024,13,50,12.10,6.03
12,2024,13,50,12.10,6.03
1,2025,13,50,12.39,6.20
2,2025,13,50,12.39,6.20
3,2025,13,50,12.39,6.20
4,2025,13,50,12.39,6.20
5,2025,13,50,12.39,6.20
6,2025,13,50,12.39,6.20
7,2025,13,50,12.39,6.20
8,2025,13,50,12.39,6.20
9,2025,13,50,12.39,6.20
10,2025,13,50,12.39,6.20
11,2025,13,50,12.39,6.20
12,2025,13,50,12.39,6.20
1,2026,13,50,12.68,6.34
2,2026,13,50,12.68,6.34
3,2026,13,50,12.68,6.34
4,2026,13,50,12.68,6.34
5,2026,13,50,12.68,6.34
6,2026,13,50,12.68,6.34
7,2026,13,50,12.68,6.34
8,2026,13,50,12.68,6.34
9,2026,13,50,12.68,6.34
10,2026,13,50,12.68,6.34
11,2026,13,50,12.68,6.34
12,2026,13,50,12.68,6.34
1,2027,13,50,12.96,6.48
2,2027,13,50,12.96,6.48
3,2027,13,50,12.96,6.48
4,2027,13,50,12.96,6.48
5,2027,13,50,12.96,6.48
6,2027,13,50,12.96,6.48
7,2027,13,50,12.96,6.48
8,2027,13,50,12.96,6.48
9,2027,13,50,12.96,6.48
10,2027,13,50,12.96,6.48
11,2027,13,50,12.96,6.48
12,2027,13,50,12.96,6.48
1,2028,13,50,13.26,6.63
2,2028,13,50,13.26,6.63
3,2028,13,50,13.26,6.63
4,2028,13,50,13.26,6.63
5,2028,13,50,13.26,6.63
6,2028,13,50,13.26,6.63
7,2028,13,50,13.26,6.63
8,2028,13,50,13.26,6.63
9,2028,13,50,13.26,6.63
10,2028,13,50,13.26,6.63
11,2028,13,50,13.26,6.63
12,2028,13,50,13.26,6.63
1,2029,13,50,13.55,6.78
2,2029,13,50,13.55,6.78
3,2029,13,50,13.55,6.78
4,2029,13,50,13.55,6.78
5,2029,13,50,13.55,6.78
6,2029,13,50,13.55,6.78
7,2029,13,50,13.55,6.78
8,2029,13,50,13.55,6.78
9,2029,13,50,13.55,6.78
10,2029,13,50,13.55,6.78
11,2029,13,50,13.55,6.78
12,2029,13,50,13.55,6.78
1,2009,14,25,8.00,2.63
2,2009,14,25,8.00,2.63
3,2009,14,25,8.00,2.63
4,2009,14,25,8.00,2.63
5,2009,14,25,8.00,2.63
6,2009,14,25,8.00,2.63
7,2009,14,25,8.00,2.63
8,2009,14,25,8.00,2.63
9,2009,14,25,8.00,2.63
10,2009,14,25,8.00,2.63
11,2009,14,25,8.00,2.63
12,2009,14,25,8.00,2.63
1,2010,14,25,8.00,2.63
2,2010,14,25,8.00,2.63
3,2010,14,25,8.00,2.63
4,2010,14,25,8.00,2.63
5,2010,14,25,8.00,2.63
6,2010,14,25,8.00,2.63
7,2010,14,25,8.00,2.63
8,2010,14,25,8.00,2.63
9,2010,14,25,8.00,2.63
10,2010,14,25,8.00,2.63
11,2010,14,25,8.00,2.63
12,2010,14,25,8.00,2.63
1,2011,14,25,8.00,2.63
2,2011,14,25,8.00,2.63
3,2011,14,25,8.00,2.63
4,2011,14,25,8.00,2.63
5,2011,14,25,8.00,2.63
6,2011,14,25,8.00,2.63
7,2011,14,25,8.00,2.63
8,2011,14,25,8.00,2.63
9,2011,14,25,8.00,2.63
10,2011,14,25,8.00,2.63
11,2011,14,25,8.00,2.63
12,2011,14,25,8.00,2.63
1,2012,14,25,8.00,2.63
2,2012,14,25,8.00,2.63
3,2012,14,25,8.00,2.63
4,2012,14,25,8.00,2.63
5,2012,14,25,8.00,2.63
6,2012,14,25,8.00,2.63
7,2012,14,25,8.00,2.63
8,2012,14,25,8.00,2.63
9,2012,14,25,8.00,2.63
10,2012,14,25,8.00,2.63
11,2012,14,25,8.00,2.63
12,2012,14,25,8.00,2.63
1,2013,14,25,8.00,2.63
2,2013,14,25,8.00,2.63
3,2013,14,25,8.00,2.63
4,2013,14,25,8.00,2.63
5,2013,14,25,8.00,2.63
6,2013,14,25,8.00,2.63
7,2013,14,25,8.00,2.63
8,2013,14,25,8.00,2.63
9,2013,14,25,8.00,2.63
10,2013,14,25,8.00,2.63
11,2013,14,25,8.00,2.63
12,2013,14,25,8.00,2.63
1,2014,14,25,8.00,2.63
2,2014,14,25,8.00,2.63
3,2014,14,25,8.00,2.63
4,2014,14,25,8.00,2.63
