month,year,state,mw,tipmw
7,2025,11,13.50,6.75
8,2025,11,13.50,6.75
9,2025,11,13.50,6.75
10,2025,11,13.50,6.75
11,2025,11,13.50,6.75
12,2025,11,13.50,6.75
1,2026,11,13.80,6.90
2,2026,11,13.80,6.90
3,2026,11,13.80,6.90
4,2026,11,13.80,6.90
5,2026,11,13.80,6.90
6,2026,11,13.80,6.90
7,2026,11,13.80,6.90
8,2026,11,13.80,6.90
9,2026,11,13.80,6.90
10,2026,11,13.80,6.90
11,2026,11,13.80,6.90
12,2026,11,13.80,6.90
1,2009,12,7.25,3.26
2,2009,12,7.25,3.26
3,2009,12,7.25,3.26
4,2009,12,7.25,3.26
5,2009,12,7.25,3.26
6,2009,12,7.25,3.26
7,2009,12,7.25,3.26
8,2009,12,7.25,3.26
9,2009,12,7.25,3.26
10,2009,12,7.25,3.26
11,2009,12,7.25,3.26
12,2009,12,7.25,3.26
1,2010,12,7.25,3.26
2,2010,12,7.25,3.26
3,2010,12,7.25,3.26
4,2010,12,7.25,3.26
5,2010,12,7.25,3.26
6,2010,12,7.25,3.26
7,2010,12,7.25,3.26
8,2010,12,7.25,3.26
9,2010,12,7.25,3.26
10,2010,12,7.25,3.26
11,2010,12,7.25,3.26
12,2010,12,7.25,3.26
1,2011,12,7.25,3.26
2,2011,12,7.25,3.26
3,2011,12,7.25,3.26
4,2011,12,7.25,3.26
5,2011,12,7.25,3.26
6,2011,12,7.25,3.26
7,2011,12,7.25,3.26
8,2011,12,7.25,3.26
9,2011,12,7.25,3.26
10,2011,12,7.25,3.26
11,2011,12,7.25,3.26
12,2011,12,7.25,3.26
1,2012,12,7.25,3.26
2,2012,12,7.25,3.26
3,2012,12,7.25,3.26
4,2012,12,7.25,3.26
5,2012,12,7.25,3.26
6,2012,12,7.25,3.26
7,2012,12,7.25,3.26
8,2012,12,7.25,3.26
9,2012,12,7.25,3.26
10,2012,12,7.25,3.26
11,2012,12,7.25,3.26
12,2012,12,7.25,3.26
1,2013,12,7.25,3.26
2,2013,12,7.25,3.26
3,2013,12,7.25,3.26
4,2013,12,7.25,3.26
5,2013,12,7.25,3.26
6,2013,12,7.25,3.26
7,2013,12,7.25,3.26
8,2013,12,7.25,3.26
9,2013,12,7.25,3.26
10,2013,12,7.25,3.26
11,2013,12,7.25,3.26
12,2013,12,7.25,3.26
1,2014,12,7.25,3.26
2,2014,12,7.25,3.26
3,2014,12,7.25,3.26
4,2014,12,7.25,3.26
5,2014,12,7.25,3.26
6,2014,12,7.25,3.26
7,2014,12,7.25,3.26
8,2014,12,7.25,3.26
9,2014,12,7.25,3.26
10,2014,12,7.25,3.26
11,2014,12,7.25,3.26
12,2014,12,7.25,3.26
1,2015,12,7.25,3.26
2,2015,12,7.25,3.26
3,2015,12,7.25,3.26
4,2015,12,7.25,3.26
5,2015,12,7.25,3.26
6,2015,12,7.25,3.26
7,2015,12,7.25,3.26
8,2015,12,7.25,3.26
9,2015,12,7.25,3.26
10,2015,12,7.25,3.26
11,2015,12,7.25,3.26
12,2015,12,7.25,3.26
1,2016,12,7.25,3.26
2,2016,12,7.25,3.26
3,2016,12,7.25,3.26
4,2016,12,7.25,3.26
5,2016,12,7.25,3.26
6,2016,12,7.25,3.26
7,2016,12,7.25,3.26
8,2016,12,7.25,3.26
9,2016,12,7.25,3.26
10,2016,12,7.25,3.26
11,2016,12,7.25,3.26
12,2016,12,7.25,3.26
1,2017,12,7.25,3.26
2,2017,12,7.25,3.26
3,2017,12,7.25,3.26
4,2017,12,7.25,3.26
5,2017,12,7.25,3.26
6,2017,12,7.25,3.26
7,2017,12,7.25,3.26
8,2017,12,7.25,3.26
9,2017,12,7.25,3.26
10,2017,12,7.25,3.26
11,2017,12,7.25,3.26
12,2017,12,7.25,3.26
1,2018,12,7.25,3.26
2,2018,12,7.25,3.26
3,2018,12,7.25,3.26
4,2018,12,7.25,3.26
5,2018,12,7.25,3.26
6,2018,12,7.25,3.26
7,2018,12,7.25,3.26
8,2018,12,7.25,3.26
9,2018,12,7.25,3.26
10,2018,12,7.25,3.26
11,2018,12,7.25,3.26
12,2018,12,7.25,3.26
1,2019,12,7.25,3.26
2,2019,12,7.25,3.26
3,2019,12,7.25,3.26
4,2019,12,7.25,3.26
5,2019,12,7.25,3.26
6,2019,12,7.25,3.26
7,2019,12,7.25,3.26
8,2019,12,7.25,3.26
9,2019,12,7.25,3.26
10,2019,12,7.25,3.26
11,2019,12,7.25,3.26
12,2019,12,7.25,3.26
1,2020,12,7.25,3.26
2,2020,12,7.25,3.26
3,2020,12,7.25,3.26
4,2020,12,7.25,3.26
5,2020,12,7.25,3.26
6,2020,12,7.25,3.26
7,2020,12,7.25,3.26
8,2020,12,7.25,3.26
9,2020,12,7.25,3.26
10,2020,12,7.25,3.26
11,2020,12,7.25,3.26
12,2020,12,7.25,3.26
1,2021,12,7.25,3.26
2,2021,12,7.25,3.26
3,2021,12,7.25,3.26
4,2021,12,7.25,3.26
5,2021,12,7.25,3.26
6,2021,12,7.25,3.26
7,2021,12,7.25,3.26
8,2021,12,7.25,3.26
9,2021,12,7.25,3.26
10,2021,12,7.25,3.26
11,2021,12,7.25,3.26
12,2021,12,7.25,3.26
1,2022,12,7.25,3.26
2,2022,12,7.25,3.26
3,2022,12,7.25,3.26
4,2022,12,7.25,3.26
5,2022,12,7.25,3.26
6,2022,12,7.25,3.26
7,2022,12,7.25,3.26
8,2022,12,7.25,3.26
9,2022,12,7.25,3.26
10,2022,12,7.25,3.26
11,2022,12,7.25,3.26
12,2022,12,7.25,3.26
1,2023,12,7.25,3.26
2,2023,12,7.25,3.26
3,2023,12,7.25,3.26
4,2023,12,7.25,3.26
5,2023,12,7.25,3.26
6,2023,12,7.25,3.26
7,2023,12,7.25,3.26
8,2023,12,7.25,3.26
9,2023,12,7.25,3.26
10,2023,12,7.25,3.26
11,2023,12,7.25,3.26
12,2023,12,7.25,3.26
1,2024,12,7.25,3.26
2,2024,12,7.25,3.26
3,2024,12,7.25,3.26
4,2024,12,7.25,3.26
5,2024,12,7.25,3.26
6,2024,12,7.25,3.26
7,2024,12,7.25,3.26
8,2024,12,7.25,3.26
9,2024,12,7.25,3.26
10,2024,12,7.25,3.26
11,2024,12,7.25,3.26
12,2024,12,7.25,3.26
1,2025,12,7.25,3.26
2,2025,12,7.25,3.26
3,2025,12,7.25,3.26
4,2025,12,7.25,3.26
5,2025,12,7.25,3.26
6,2025,12,7.25,3.26
7,2025,12,7.25,3.26
8,2025,12,7.25,3.26
9,2025,12,7.25,3.26
10,2025,12,7.25,3.26
11,2025,12,7.25,3.26
12,2025,12,7.25,3.26
1,2026,12,7.25,3.26
2,2026,12,7.25,3.26
3,2026,12,7.25,3.26
4,2026,12,7.25,3.26
5,2026,12,7.25,3.26
6,2026,12,7.25,3.26
7,2026,12,7.25,3.26
8,2026,12,7.25,3.26
9,2026,12,7.25,3.26
10,2026,12,7.25,3.26
11,2026,12,7.25,3.26
12,2026,12,7.25,3.26
1,2009,13,8.06,3.91
2,2009,13,8.06,3.91
3,2009,13,8.06,3.91
4,2009,13,8.06,3.91
5,2009,13,8.06,3.91
6,2009,13,8.06,3.91
7,2009,13,8.06,3.91
8,2009,13,8.06,3.91
9,2009,13,8.06,3.91
10,2009,13,8.06,3.91
11,2009,13,8.06,3.91
12,2009,13,8.06,3.91
1,2010,13,8.06,3.91
2,2010,13,8.06,3.91
3,2010,13,8.06,3.91
4,2010,13,8.06,3.91
5,2010,13,8.06,3.91
6,2010,13,8.06,3.91
7,2010,13,8.06,3.91
8,2010,13,8.06,3.91
9,2010,13,8.06,3.91
10,2010,13,8.06,3.91
11,2010,13,8.06,3.91
12,2010,13,8.06,3.91
1,2011,13,8.15,3.95
2,2011,13,8.15,3.95
3,2011,13,8.15,3.95
4,2011,13,8.15,3.95
5,2011,13,8.15,3.95
6,2011,13,8.15,3.95
7,2011,13,8.15,3.95
8,2011,13,8.15,3.95
9,2011,13,8.15,3.95
10,2011,13,8.15,3.95
11,2011,13,8.15,3.95
12,2011,13,8.15,3.95
1,2012,13,8.46,4.10
2,2012,13,8.46,4.10
3,2012,13,8.46,4.10
4,2012,13,8.46,4.10
5,2012,13,8.46,4.10
6,2012,13,8.46,4.10
7,2012,13,8.46,4.10
8,2012,13,8.46,4.10
9,2012,13,8.46,4.10
10,2012,13,8.46,4.10
11,2012,13,8.46,4.10
12,2012,13,8.46,4.10
1,2013,13,8.60,4.17
2,2013,13,8.60,4.17
3,2013,13,8.60,4.17
4,2013,13,8.60,4.17
5,2013,13,8.60,4.17
6,2013,13,8.60,4.17
7,2013,13,8.60,4.17
8,2013,13,8.60,4.17
9,2013,13,8.60,4.17
10,2013,13,8.60,4.17
11,2013,13,8.60,4.17
12,2013,13,8.60,4.17
1,2014,13,8.73,4.23
2,2014,13,8.73,4.23
3,2014,13,8.73,4.23
4,2014,13,8.73,4.23
5,2014,13,8.73,4.23
6,2014,13,8.73,4.23
7,2014,13,8.73,4.23
8,2014,13,8.73,4.23
9,2014,13,8.73,4.23
10,2014,13,8.73,4.23
11,2014,13,8.73,4.23
12,2014,13,8.73,4.23
1,2015,13,9.15,4.58
2,2015,13,9.15,4.58
3,2015,13,9.15,4.58
4,2015,13,9.15,4.58
5,2015,13,9.15,4.58
6,2015,13,9.15,4.58
7,2015,13,9.15,4.58
8,2015,13,9.15,4.58
9,2015,13,9.15,4.58
10,2015,13,9.15,4.58
11,2015,13,9.15,4.58
12,2015,13,9.15,4.58
1,2016,13,9.60,4.80
2,2016,13,9.60,4.80
3,2016,13,9.60,4.80
4,2016,13,9.60,4.80
5,2016,13,9.60,4.80
6,2016,13,9.60,4.80
7,2016,13,9.60,4.80
8,2016,13,9.60,4.80
9,2016,13,9.60,4.80
10,2016,13,9.60,4.80
11,2016,13,9.60,4.80
12,2016,13,9.60,4.80
1,2017,13,10.00,5.00
2,2017,13,10.00,5.00
3,2017,13,10.00,5.00
4,2017,13,10.00,5.00
5,2017,13,10.00,5.00
6,2017,13,10.00,5.00
7,2017,13,10.00,5.00
8,2017,13,10.00,5.00
9,2017,13,10.00,5.00
10,2017,13,10.00,5.00
11,2017,13,10.00,5.00
12,2017,13,10.00,5.00
1,2018,13,10.50,5.25
2,2018,13,10.50,5.25
3,2018,13,10.50,5.25
4,2018,13,10.50,5.25
5,2018,13,10.50,5.25
6,2018,13,10.50,5.25
7,2018,13,10.50,5.25
8,2018,13,10.50,5.25
9,2018,13,10.50,5.25
10,2018,13,10.50,5.25
11,2018,13,10.50,5.25
12,2018,13,10.50,5.25
1,2019,13,10.77,5.38
2,2019,13,10.77,5.38
3,2019,13,10.77,5.38
4,2019,13,10.77,5.38
5,2019,13,10.77,5.38
6,2019,13,10.77,5.38
7,2019,13,10.77,5.38
8,2019,13,10.77,5.38
9,2019,13,10.77,5.38
10,2019,13,10.77,5.38
11,2019,13,10.77,5.38
12,2019,13,10.77,5.38
1,2020,13,11.01,5.50
2,2020,13,11.01,5.49
3,2020,13,11.01,5.49
4,2020,13,11.01,5.49
5,2020,13,11.01,5.49
6,2020,13,11.01,5.49
7,2020,13,11.01,5.49
8,2020,13,11.01,5.49
9,2020,13,11.01,5.49
10,2020,13,11.01,5.49
11,2020,13,11.01,5.49
12,2020,13,11.01,5.49
1,2021,13,11.28,5.64
2,2021,13,11.28,5.64
3,2021,13,11.28,5.64
4,2021,13,11.28,5.64
5,2021,13,11.28,5.64
6,2021,13,11.28,5.64
7,2021,13,11.28,5.64
8,2021,13,11.28,5.64
9,2021,13,11.28,5.64
10,2021,13,11.28,5.64
11,2021,13,11.28,5.64
12,2021,13,11.28,5.64
1,2022,13,11.57,5.78
2,2022,13,11.57,5.78
3,2022,13,11.57,5.78
4,2022,13,11.57,5.78
5,2022,13,11.57,5.78
6,2022,13,11.57,5.78
7,2022,13,11.57,5.78
8,2022,13,11.57,5.78
9,2022,13,11.57,5.78
10,2022,13,11.57,5.78
11,2022,13,11.57,5.78
12,2022,13,11.57,5.78
1,2023,13,11.85,5.93
2,2023,13,11.85,5.93
3,2023,13,11.85,5.93
4,2023,13,11.85,5.93
5,2023,13,11.85,5.93
6,2023,13,11.85,5.93
7,2023,13,11.85,5.93
8,2023,13,11.85,5.93
9,2023,13,11.85,5.93
10,2023,13,11.85,5.93
11,2023,13,11.85,5.93
12,2023,13,11.85,5.93
1,2024,13,12.14,6.07
2,2024,13,12.14,6.03
3,2024,13,12.14,6.03
4,2024,13,12.14,6.03
5,2024,13,12.14,6.03
6,2024,13,12.14,6.03
7,2024,13,12.14,6.03
8,2024,13,12.14,6.03
9,2024,13,12.14,6.03
10,2024,13,12.14,6.03
11,2024,13,12.14,6.03
12,2024,13,12.14,6.03
1,2025,13,12.43,6.22
2,2025,13,12.43,6.22
3,2025,13,12.43,6.22
4,2025,13,12.43,6.22
5,2025,13,12.43,6.22
6,2025,13,12.43,6.22
7,2025,13,12.43,6.22
8,2025,13,12.43,6.22
9,2025,13,12.43,6.22
10,2025,13,12.43,6.22
11,2025,13,12.43,6.22
12,2025,13,12.43,6.22
1,2026,13,12.73,6.36
2,2026,13,12.73,6.36
3,2026,13,12.73,6.36
4,2026,13,12.73,6.36
5,2026,13,12.73,6.36
6,2026,13,12.73,6.36
7,2026,13,12.73,6.36
8,2026,13,12.73,6.36
9,2026,13,12.73,6.36
10,2026,13,12.73,6.36
11,2026,13,12.73,6.36
12,2026,13,12.73,6.36
1,2009,14,8.00,2.63
2,2009,14,8.00,2.63
3,2009,14,8.00,2.63
4,2009,14,8.00,2.63
5,2009,14,8.00,2.63
6,2009,14,8.00,2.63
7,2009,14,8.00,2.63
8,2009,14,8.00,2.63
9,2009,14,8.00,2.63
10,2009,14,8.00,2.63
11,2009,14,8.00,2.63
12,2009,14,8.00,2.63
1,2010,14,8.00,2.63
2,2010,14,8.00,2.63
3,2010,14,8.00,2.63
4,2010,14,8.00,2.63
5,2010,14,8.00,2.63
6,2010,14,8.00,2.63
7,2010,14,8.00,2.63
8,2010,14,8.00,2.63
9,2010,14,8.00,2.63
10,2010,14,8.00,2.63
11,2010,14,8.00,2.63
12,2010,14,8.00,2.63
1,2011,14,8.00,2.63
2,2011,14,8.00,2.63
3,2011,14,8.00,2.63
4,2011,14,8.00,2.63
5,2011,14,8.00,2.63
6,2011,14,8.00,2.63
7,2011,14,8.00,2.63
8,2011,14,8.00,2.63
9,2011,14,8.00,2.63
10,2011,14,8.00,2.63
11,2011,14,8.00,2.63
12,2011,14,8.00,2.63
1,2012,14,8.00,2.63
2,2012,14,8.00,2.63
3,2012,14,8.00,2.63
4,2012,14,8.00,2.63
5,2012,14,8.00,2.63
6,2012,14,8.00,2.63
7,2012,14,8.00,2.63
8,2012,14,8.00,2.63
9,2012,14,8.00,2.63
10,2012,14,8.00,2.63
11,2012,14,8.00,2.63
12,2012,14,8.00,2.63
1,2013,14,8.00,2.63
2,2013,14,8.00,2.63
3,2013,14,8.00,2.63
4,2013,14,8.00,2.63
5,2013,14,8.00,2.63
6,2013,14,8.00,2.63
7,2013,14,8.00,2.63
8,2013,14,8.00,2.63
9,2013,14,8.00,2.63
10,2013,14,8.00,2.63
11,2013,14,8.00,2.63
12,2013,14,8.00,2.63
1,2014,14,8.00,2.63
2,2014,14,8.00,2.63
3,2014,14,8.00,2.63
4,2014,14,8.00,2.63
5,2014,14,8.00,2.63
6,2014,14,8.00,2.63
7,2014,14,8.00,2.63
8,2014,14,8.00,2.63
9,2014,14,8.00,2.63
10,2014,14,8.00,2.63
11,2014,14,8.00,2.63
12,2014,14,8.00,2.63
1,2015,14,9.00,3.00
2,2015,14,9.00,3.00
3,2015,14,9.00,3.00
4,2015,14,9.00,3.00
5,2015,14,9.00,3.00
6,2015,14,9.00,3.00
7,2015,14,9.00,3.00
8,2015,14,9.00,3.00
9,2015,14,9.00,3.00
10,2015,14,9.00,3.00
11,2015,14,9.00,3.00
12,2015,14,9.00,3.00
1,2016,14,10.00,3.35
2,2016,14,10.00,3.35
3,2016,14,10.00,3.35
4,2016,14,10.00,3.35
5,2016,14,10.00,3.35
6,2016,14,10.00,3.35
7,2016,14,10.00,3.35
8,2016,14,10.00,3.35
9,2016,14,10.00,3.35
10,2016,14,10.00,3.35
11,2016,14,10.00,3.35
12,2016,14,10.00,3.35
1,2017,14,11.00,3.75
2,2017,14,11.00,3.75
3,2017,14,11.00,3.75
4,2017,14,11.00,3.75
5,2017,14,11.00,3.75
6,2017,14,11.00,3.75
7,2017,14,11.00,3.75
8,2017,14,11.00,3.75
9,2017,14,11.00,3.75
10,2017,14,11.00,3.75
11,2017,14,11.00,3.75
12,2017,14,11.00,3.75
1,2018,14,11.00,3.75
2,2018,14,11.00,3.75
3,2018,14,11.00,3.75
4,2018,14,11.00,3.75
5,2018,14,11.00,3.75
6,2018,14,11.00,3.75
7,2018,14,11.00,3.75
8,2018,14,11.00,3.75
9,2018,14,11.00,3.75
10,2018,14,11.00,3.75
11,2018,14,11.00,3.75
12,2018,14,11.00,3.75
1,2019,14,12.00,4.35
2,2019,14,12.00,4.35
3,2019,14,12.00,4.35
4,2019,14,12.00,4.35
5,2019,14,12.00,4.35
6,2019,14,12.00,4.35
7,2019,14,12.00,4.35
8,2019,14,12.00,4.35
9,2019,14,12.00,4.35
10,2019,14,12.00,4.35
11,2019,14,12.00,4.35
12,2019,14,12.00,4.35
1,2020,14,12.75,4.95
2,2020,14,12.75,4.95
3,2020,14,12.75,4.95
4,2020,14,12.75,4.95
5,2020,14,12.75,4.95
6,2020,14,12.75,4.95
7,2020,14,12.75,4.95
8,2020,14,12.75,4.95
9,2020,14,12.75,4.95
10,2020,14,12.75,4.95
11,2020,14,12.75,4.95
12,2020,14,12.75,4.95
1,2021,14,13.50,5.55
2,2021,14,13.50,5.55
3,2021,14,13.50,5.55
4,2021,14,13.50,5.55
5,2021,14,13.50,5.55
6,2021,14,13.50,5.55
7,2021,14,13.50,5.55
8,2021,14,13.50,5.55
9,2021,14,13.50,5.55
10,2021,14,13.50,5.55
11,2021,14,13.50,5.55
12,2021,14,13.50,5.55
1,2022,14,14.25,6.15
2,2022,14,14.25,6.15
3,2022,14,14.25,6.15
4,2022,14,14.25,6.15
5,2022,14,14.25,6.15
6,2022,14,14.25,6.15
7,2022,14,14.25,6.15
8,2022,14,14.25,6.15
9,2022,14,14.25,6.15
10,2022,14,14.25,6.15
11,2022,14,14.25,6.15
12,2022,14,14.25,6.15
1,2023,14,15.00,6.75
2,2023,14,15.00,6.75
3,2023,14,15.00,6.75
4,2023,14,15.00,6.75
5,2023,14,15.00,6.75
6,2023,14,15.00,6.75
7,2023,14,15.00,6.75
8,2023,14,15.00,6.75
9,2023,14,15.00,6.75
10,2023,14,15.00,6.75
11,2023,14,15.00,6.75
12,2023,14,15.00,6.75
1,2024,14,15.00,6.75
2,2024,14,15.00,6.75
3,2024,14,15.00,6.75
4,2024,14,15.00,6.75
5,2024,14,15.00,6.75
6,2024,14,15.00,6.75
7,2024,14,15.00,6.75
8,2024,14,15.00,6.75
9,2024,14,15.00,6.75
10,2024,14,15.00,6.75
11,2024,14,15.00,6.75
12,2024,14,15.00,6.75
1,2025,14,15.00,6.75
2,2025,14,15.00,6.75
3,2025,14,15.00,6.75
4,2025,14,15.00,6.75
5,2025,14,15.00,6.75
6,2025,14,15.00,6.75
7,2025,14,15.00,6.75
8,2025,14,15.00,6.75
9,2025,14,15.00,6.75
10,2025,14,15.00,6.75
11,2025,14,15.00,6.75
12,2025,14,15.00,6.75
1,2026,14,15.00,6.75
2,2026,14,15.00,6.75
3,2026,14,15.00,6.75
4,2026,14,15.00,6.75
5,2026,14,15.00,6.75
6,2026,14,15.00,6.75
7,2026,14,15.00,6.75
8,2026,14,15.00,6.75
9,2026,14,15.00,6.75
10,2026,14,15.00,6.75
11,2026,14,15.00,6.75
12,2026,14,15.00,6.75
1,2009,15,7.40,2.89
2,2009,15,7.40,2.89
3,2009,15,7.40,2.89
4,2009,15,7.40,2.89
5,2009,15,7.40,2.89
6,2009,15,7.40,2.89
7,2009,15,7.40,2.89
8,2009,15,7.40,2.89
9,2009,15,7.40,2.89
10,2009,15,7.40,2.89
11,2009,15,7.40,2.89
12,2009,15,7.40,2.89
1,2010,15,7.40,2.89
2,2010,15,7.40,2.89
3,2010,15,7.40,2.89
4,2010,15,7.40,2.89
5,2010,15,7.40,2.89
6,2010,15,7.40,2.89
7,2010,15,7.40,2.89
8,2010,15,7.40,2.89
9,2010,15,7.40,2.89
10,2010,15,7.40,2.89
11,2010,15,7.40,2.89
12,2010,15,7.40,2.89
1,2011,15,7.40,2.89
2,2011,15,7.40,2.89
3,2011,15,7.40,2.89
4,2011,15,7.40,2.89
5,2011,15,7.40,2.89
6,2011,15,7.40,2.89
7,2011,15,7.40,2.89
8,2011,15,7.40,2.89
9,2011,15,7.40,2.89
10,2011,15,7.40,2.89
11,2011,15,7.40,2.89
12,2011,15,7.40,2.89
1,2012,15,7.40,2.89
2,2012,15,7.40,2.89
3,2012,15,7.40,2.89
4,2012,15,7.40,2.89
5,2012,15,7.40,2.89
6,2012,15,7.40,2.89
7,2012,15,7.40,2.89
8,2012,15,7.40,2.89
9,2012,15,7.40,2.89
10,2012,15,7.40,2.89
11,2012,15,7.40,2.89
12,2012,15,7.40,2.89
1,2013,15,7.75,2.89
2,2013,15,7.75,2.89
3,2013,15,7.75,2.89
4,2013,15,7.75,2.89
5,2013,15,7.75,2.89
6,2013,15,7.75,2.89
7,2013,15,7.75,2.89
8,2013,15,7.75,2.89
9,2013,15,7.75,2.89
10,2013,15,7.75,2.89
11,2013,15,7.75,2.89
12,2013,15,7.75,2.89
1,2014,15,8.00,2.89
2,2014,15,8.00,2.89
3,2014,15,8.00,2.89
4,2014,15,8.00,2.89
5,2014,15,8.00,2.89
6,2014,15,8.00,2.89
7,2014,15,8.00,2.89
